feature,iv,method,strength,notes
loan_term_months,0.1918,optbinning,Medium,PRODUCT PROXY — IV inflated by dual-product harmonization; neutralized at scoring time. Not a genuine HELOC risk driver.
credit_score,0.1359,optbinning,Medium,
dti,0.0825,optbinning,Weak,
pct_trades_never_delinquent,0.0823,optbinning,Weak,
external_risk_estimate,0.0821,optbinning,Weak,
num_high_utilization_trades,0.0718,optbinning,Weak,
loan_amount,0.0485,optbinning,Weak,
num_inquiries_last_6m,0.0401,optbinning,Weak,
annual_income,0.0383,optbinning,Weak,
dti_x_emp_risk,0.021,optbinning,Weak,
credit_utilization,0.0166,optbinning,USELESS — drop,
alt_data_score,0.0154,optbinning,USELESS — drop,
months_since_oldest_trade,0.0117,optbinning,USELESS — drop,
months_since_recent_delinquency,0.009,optbinning,USELESS — drop,
num_derogatory_marks,0.008,optbinning,USELESS — drop,
employment_length_years,0.0045,optbinning,USELESS — drop,
total_accounts,0.0013,optbinning,USELESS — drop,
ltv_x_product,0.0,optbinning,USELESS — drop,
ltv_ratio,0.0,optbinning,USELESS — drop,
ads_x_thin_file,0.0,optbinning,USELESS — drop,
score_x_product,0.0,optbinning,USELESS — drop,
