segment,n,approval_rate,avg_pd,gap_from_best,disparate_impact,flag
vacation,1647,0.9848,0.1242,0.0,0.0,OK
moving,1605,0.9695,0.1393,0.0153,0.0155,OK
renewable_energy,135,0.963,0.1542,0.0218,0.0221,OK
car,2252,0.9583,0.1396,0.0265,0.0269,OK
other,13962,0.9542,0.1445,0.0306,0.0311,OK
medical,2722,0.9497,0.1426,0.0351,0.0356,OK
major_purchase,4934,0.9495,0.1423,0.0353,0.0358,OK
small_business,2092,0.9359,0.1569,0.0489,0.0497,OK
home_improvement,14346,0.935,0.1503,0.0498,0.0506,OK
credit_card,38589,0.9121,0.1704,0.0727,0.0738,OK
house,1377,0.9107,0.1645,0.0741,0.0752,OK
debt_consolidation,108809,0.8888,0.1845,0.096,0.0975,OK
