segment,n,n_good,n_bad,tpr,fpr,tpr_gap,fpr_gap,flag
debt_consolidation,108809,83138,25671,0.9196,0.789,0.0703,0.0,OK
credit_card,38589,30941,7648,0.9345,0.8217,0.0554,0.0327,OK
moving,1605,1200,405,0.9792,0.9407,0.0107,0.1517,OK
home_improvement,14346,11495,2851,0.9511,0.8699,0.0388,0.0809,OK
other,13962,10793,3169,0.9698,0.9009,0.0201,0.1119,OK
major_purchase,4934,3900,1034,0.96,0.9101,0.0299,0.1211,OK
car,2252,1866,386,0.9711,0.8964,0.0188,0.1074,OK
vacation,1647,1283,364,0.9899,0.967,0.0,0.178,OK
house,1377,1063,314,0.9294,0.8471,0.0605,0.0581,OK
medical,2722,2072,650,0.9633,0.9062,0.0266,0.1172,OK
small_business,2092,1357,735,0.9639,0.8844,0.026,0.0954,OK
renewable_energy,135,94,41,0.9574,0.9756,0.0325,0.1866,OK
